"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(1,2)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,1)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,2)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
14.00000000000000 GHz,0.008080267798136 - j0.015722941151103 ,0.978897109983638 - j0.132701983197518 ,0.978897109983638 - j0.132701983197518 ,0.008080267798131 - j0.015722941151092 
14.50000000000000 GHz,0.008067972012785 - j0.016391146950442 ,0.978071816658289 - j0.137223526733377 ,0.978071816658289 - j0.137223526733377 ,0.008067972012795 - j0.016391146950446 
15.00000000000000 GHz,0.008047408283461 - j0.017063875836005 ,0.977229580122176 - j0.141735289885409 ,0.977229580122175 - j0.141735289885409 ,0.008047408283467 - j0.017063875836000 
15.50000000000000 GHz,0.008018397550546 - j0.017740698955880 ,0.976370448532061 - j0.146237647884765 ,0.976370448532061 - j0.146237647884765 ,0.008018397550558 - j0.017740698955876 
16.00000000000000 GHz,0.007980800489214 - j0.018421196431781 ,0.975494441419031 - j0.150730947110205 ,0.975494441419031 - j0.150730947110205 ,0.007980800489212 - j0.018421196431797 
16.50000000000000 GHz,0.007934513377842 - j0.019104960285993 ,0.974601553968810 - j0.155215505163685 ,0.974601553968810 - j0.155215505163685 ,0.007934513377850 - j0.019104960286015 
17.00000000000000 GHz,0.007879464119319 - j0.019791596615714 ,0.973691760900691 - j0.159691611298005 ,0.973691760900692 - j0.159691611298005 ,0.007879464119317 - j0.019791596615729 
17.50000000000000 GHz,0.007815608483889 - j0.020480727132766 ,0.972765019968981 - j0.164159527121730 ,0.972765019968981 - j0.164159527121730 ,0.007815608483874 - j0.020480727132796 
18.00000000000000 GHz,0.007742926595889 - j0.021171990175969 ,0.971821275089518 - j0.168619487518641 ,0.971821275089518 - j0.168619487518641 ,0.007742926595889 - j0.021171990175930 
18.50000000000000 GHz,0.007661419698385 - j0.021865041286604 ,0.970860459125552 - j0.173071701724352 ,0.970860459125552 - j0.173071701724352 ,0.007661419698371 - j0.021865041286632 
19.00000000000000 GHz,0.007571107196670 - j0.022559553435690 ,0.969882496348768 - j0.177516354519913 ,0.969882496348769 - j0.177516354519913 ,0.007571107196666 - j0.022559553435687 
19.50000000000000 GHz,0.007472023977548 - j0.023255216963465 ,0.968887304597299 - j0.181953607494947 ,0.968887304597299 - j0.181953607494947 ,0.007472023977546 - j0.023255216963471 
20.00000000000000 GHz,0.007364218003364 - j0.023951739303282 ,0.967874797162409 - j0.186383600358697 ,0.967874797162410 - j0.186383600358697 ,0.007364218003350 - j0.023951739303311 
20.50000000000000 GHz,0.007247748164629 - j0.024648844532610 ,0.966844884424373 - j0.190806452265401 ,0.966844884424372 - j0.190806452265400 ,0.007247748164634 - j0.024648844532615 
21.00000000000000 GHz,0.007122682372619 - j0.025346272796220 ,0.965797475258167 - j0.195222263134839 ,0.965797475258167 - j0.195222263134840 ,0.007122682372621 - j0.025346272796199 
21.50000000000000 GHz,0.006989095880890 - j0.026043779641486 ,0.964732478238267 - j0.199631114955617 ,0.964732478238266 - j0.199631114955617 ,0.006989095880886 - j0.026043779641505 
22.00000000000000 GHz,0.006847069812655 - j0.026741135287876 ,0.963649802658965 - j0.204033073051094 ,0.963649802658966 - j0.204033073051094 ,0.006847069812654 - j0.026741135287901 
22.50000000000000 GHz,0.006696689879530 - j0.027438123861386 ,0.962549359394343 - j0.208428187305490 ,0.962549359394344 - j0.208428187305490 ,0.006696689879515 - j0.027438123861400 
23.00000000000000 GHz,0.006538045266892 - j0.028134542606713 ,0.961431061609837 - j0.212816493336240 ,0.961431061609837 - j0.212816493336240 ,0.006538045266905 - j0.028134542606691 
23.50000000000000 GHz,0.006371227678905 - j0.028830201099296 ,0.960294825352642 - j0.217198013615033 ,0.960294825352642 - j0.217198013615033 ,0.006371227678903 - j0.028830201099312 
24.00000000000000 GHz,0.006196330517509 - j0.029524920462985 ,0.959140570027638 - j0.221572758527987 ,0.959140570027639 - j0.221572758527987 ,0.006196330517505 - j0.029524920463000 
24.50000000000000 GHz,0.006013448184478 - j0.030218532605049 ,0.957968218776821 - j0.225940727376512 ,0.957968218776821 - j0.225940727376512 ,0.006013448184476 - j0.030218532605030 
25.00000000000000 GHz,0.005822675492416 - j0.030910879476485 ,0.956777698775339 - j0.230301909319087 ,0.956777698775339 - j0.230301909319087 ,0.005822675492429 - j0.030910879476453 
25.50000000000000 GHz,0.005624107172565 - j0.031601812360508 ,0.955568941456085 - j0.234656284252577 ,0.955568941456084 - j0.234656284252577 ,0.005624107172591 - j0.031601812360451 
26.00000000000000 GHz,0.005417837461971 - j0.032291191193050 ,0.954341882667337 - j0.239003823634945 ,0.954341882667338 - j0.239003823634945 ,0.005417837461971 - j0.032291191193050 
26.50000000000000 GHz,0.005203959770724 - j0.032978883919391 ,0.953096462783861 - j0.243344491252664 ,0.953096462783861 - j0.243344491252664 ,0.005203959770721 - j0.032978883919417 
27.00000000000000 GHz,0.004982566406293 - j0.033664765884026 ,0.951832626765662 - j0.247678243931475 ,0.951832626765661 - j0.247678243931475 ,0.004982566406303 - j0.033664765884009 
27.50000000000000 GHz,0.004753748358201 - j0.034348719259103 ,0.950550324183482 - j0.252005032197492 ,0.950550324183482 - j0.252005032197492 ,0.004753748358223 - j0.034348719259104 
