"Freq [thz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.259076221416763,0,0.74093537277804,0,0.740935370551597,0,0.259076222642761,0
0.0005,0.259861897608402,0.0040868676286262,0.740136905158304,-0.00560539174848505,0.740136906533186,-0.00560539243000731,0.25986184380221,0.00408814978964329
0.001,0.260724796301974,0.00710310219207532,0.739270137370371,-0.010140785199566,0.739270137364397,-0.0101407852030565,0.260724666907176,0.00710571172793238
0.0015,0.261310122218956,0.00991916569594621,0.738676483068287,-0.0144802227253833,0.738676483063071,-0.0144802227260396,0.261309892394439,0.00992309624504362
0.002,0.261718672722227,0.0126741409878575,0.738256606808615,-0.0187551385849725,0.738256606805132,-0.0187551385849722,0.261718306164667,0.0126793898737783
0.0025,0.262049511636382,0.0154421658247035,0.737912998218273,-0.0230416225773173,0.737912998216218,-0.023041622577722,0.262048968682589,0.0154487331517012
0.003,0.262357187160079,0.0182326037502362,0.737591037594535,-0.0273500728561546,0.737591037593507,-0.027350072857365,0.262356427696433,0.0182404916872499
0.0035,0.26266889020594,0.0210412174665438,0.737263253235321,-0.0316766721166826,0.737263253235014,-0.0316766721188165,0.262667874269208,0.021050429468141
0.004,0.262998533497503,0.0238621927170565,0.736915495384289,-0.0360157720468447,0.736915495384494,-0.0360157720499023,0.262997221351762,0.0238727331609676
0.0045,0.263353584307857,0.0266905360603026,0.736540116432255,-0.0403624461047914,0.736540116432828,-0.0403624461087228,0.263351936431274,0.0267024100914741
0.005,0.263738232069388,0.0295223011976109,0.73613278414818,-0.0447127755417215,0.736132784149022,-0.044712775546454,0.26373620913658,0.0295355146588079
0.0055,0.264154905312546,0.0323543920175801,0.735690948444263,-0.0490636753795806,0.735690948445302,-0.0490636753850301,0.264152468185394,0.032368951416152
0.006,0.26460503475784,0.0351843387668014,0.735213067801123,-0.0534126794692021,0.735213067802307,-0.0534126794752777,0.264602144483986,0.0352002512569908
0.0065,0.265089456928149,0.0380101224942949,0.734698199329954,-0.0577577683181779,0.734698199331243,-0.0577577683247841,0.265086074744769,0.0380273958663953
0.007,0.265608637817323,0.0408300492786183,0.734145771342059,-0.0620972444871578,0.734145771343423,-0.0620972444941949,0.265604725158276,0.0408486919511632
0.0075,0.266162802176859,0.0436426624088003,0.733555451832116,-0.0664296450375204,0.733555451833529,-0.0664296450448847,0.266158320681938,0.0436626834220348
0.008,0.266752011131521,0.046446681246722,0.732927069551178,-0.0707536802979888,0.73292706955262,-0.0707536803055731,0.266746922656994,0.0464680902565289
0.0085,0.267376210393994,0.0492409583974942,0.732260565041242,-0.0750681908040765,0.732260565042695,-0.0750681908117696,0.267370477023927,0.049263765669369
0.009,0.268035261162679,0.052024449403521,0.731555959336687,-0.0793721167226095,0.731555959338135,-0.0793721167302956,0.268028845220709,0.0520486658063998
0.0095,0.268728960500454,0.054796191056547,0.730813333408875,-0.0836644758960979,0.730813333410304,-0.0836644759036577,0.268721824561796,0.0548218280563821
0.01,0.269457055144961,0.057555285699187,0.730032814326573,-0.0879443478945642,0.730032814327971,-0.0879443479018741,0.269449162048512,0.0575823553522274
0.0105,0.270221376680726,0.0603434965323794,0.729206837903096,-0.0922368357485584,0.729206837904027,-0.092236835753886,0.270212746845098,0.0603719786887764
0.011,0.271020840548094,0.0631189266071564,0.728344588463861,-0.09651616261734,0.728344588464556,-0.0965161626207351,0.271011436809844,0.0631488309543559
0.0115,0.271855157035382,0.0658810411283495,0.727446359497652,-0.100781977296156,0.727446359498319,-0.100781977297692,0.271844942169993,0.0659123780247913
0.012,0.272724026444064,0.0686293145398326,0.726512436329683,-0.105033928315238,0.726512436330509,-0.105033928315007,0.27271296318504,0.0686620950325376
0.0125,0.273627139480777,0.0713632307309547,0.725543098196951,-0.109271662965515,0.7255430981981,-0.109271662963622,0.273615190540477,0.0713974665718011
0.013,0.274564177651077,0.0740822832220801,0.724538620200269,-0.113494826711922,0.724538620201883,-0.113494826708485,0.274551305743152,0.0741179868826261
0.0135,0.275534813653665,0.0767859753296292,0.723499275097829,-0.117703062926796,0.723499275100027,-0.117703062921938,0.275520981516955,0.0768231600143627
0.014,0.276538711773855,0.0794738203111142,0.722425334920107,-0.121896012880972,0.722425334922989,-0.121896012874821,0.276523882197594,0.079512499969015
0.0145,0.277575528275146,0.0821453414907219,0.721317072397541,-0.126073315936815,0.721317072401188,-0.126073315929501,0.277559664125309,0.0821855308250493
0.015,0.278644911787815,0.0848000723660761,0.720174762201104,-0.130234609894594,0.720174762205578,-0.130234609886245,0.278627976034453,0.0848417868423056
0.0155,0.279746503693543,0.0874375566968701,0.718998682002081,-0.134379531450861,0.718998682007428,-0.134379531441603,0.279728459438928,0.087480812548722
0.016,0.280879938505156,0.0900573485761017,0.717789113361521,-0.138507716734373,0.717789113367774,-0.138507716724332,0.28086074901257,0.090102162809618
0.0165,0.282044844240645,0.0926590124846953,0.716546342462391,-0.142618801891406,0.71654634246957,-0.142618801880698,0.282024472963643,0.0927054028803473
0.017,0.283240842790722,0.0952421233303271,0.715270660698775,-0.146712423697857,0.715270660706886,-0.146712423686596,0.283219253402702,0.095290108443135
0.0175,0.284467550279243,0.0978062664712863,0.713962365136891,-0.15078822018041,0.713962365145934,-0.150788220168704,0.284444706703159,0.0978558656289673
0.018,0.285724577415909,0.100351037726238,0.712621758862478,-0.154845831233113,0.712621758872439,-0.154845831221062,0.285700443853965,0.1004022710254
0.0185,0.287011529840749,0.102876043370751,0.711249151228417,-0.158884899219129,0.711249151239279,-0.158884899206829,0.286986070803917,0.102928931671164
0.019,0.288328008459948,0.105380900121465,0.709844858015567,-0.16290506955024,0.709844858027304,-0.162905069537777,0.288301188797172,0.105435465038466
0.0195,0.289673609772681,0.107865235108764,0.708409201518671,-0.166905991238921,0.708409201531253,-0.166905991226378,0.289645394699615,0.107921499003843
0.02,0.29104792618866,0.110328685838815,0.706942510568057,-0.17088731741961,0.706942510581449,-0.170887317407061,0.291018281315825,0.110386671808464
0.0205,0.292450546336204,0.112770900145825,0.705445120496717,-0.174848705837185,0.70544512051088,-0.174848705824698,0.292419437696428,0.112830632008721
0.021,0.293881055360667,0.11519153613533,0.703917373061227,-0.178789819301748,0.703917373076119,-0.178789819289386,0.293848449435705,0.115253038417935
0.0215,0.295339035213157,0.117590262119326,0.702359616323947,-0.182710326109637,0.702359616339523,-0.182710326097455,0.295304898959384,0.117653560040019
0.022,0.296824064929499,0.119966756544027,0.700772204502975,-0.186609900431144,0.700772204519191,-0.186609900419193,0.296788365802598,0.120031875995834
0.0225,0.298335720899487,0.12232070791097,0.699155497795469,-0.190488222665908,0.699155497812277,-0.190488222654233,0.298298426878035,0.122387675443029
0.023,0.299873577126479,0.124651814692208,0.697509862179168,-0.19434497976717,0.69750986219652,-0.19434497975581,0.299834656734374,0.124720657490052
0.0235,0.301437205477453,0.126959785240242,0.695835669196276,-0.198179865536335,0.695835669214125,-0.198179865525326,0.301396627805126,0.127030531105032
0.024,0.303026175923684,0.129244337693355,0.694133295723256,-0.201992580889335,0.694133295741551,-0.201992580878706,0.302983910648032,0.129317015020151
0.0245,0.30464005677221,0.131505199876925,0.692403123729555,-0.205782834096375,0.69240312374825,-0.205782834086153,0.30459607417523,0.131579837632128
0.025,0.306278414888311,0.133742109201308,0.69064554002785,-0.209550340996628,0.690645540046897,-0.209550340986834,0.306232685874401,0.13381873689937
0.0255,0.307940815909242,0.135954812556785,0.688860936017979,-0.213294825189415,0.688860936037331,-0.213294825180068,0.307893312021146,0.136033460236304
0.026,0.309626824449468,0.138143066206081,0.687049707426413,-0.217016018203369,0.687049707446024,-0.217016018194483,0.309577517882865,0.138223764405387
0.0265,0.311336004297693,0.140306635674887,0.685212254042833,-0.220713659644998,0.685212254062658,-0.220713659636585,0.311284867914417,0.140389415407229
0.027,0.313067918605947,0.142445295640803,0.683348979455112,-0.224387497328,0.683348979475107,-0.224387497320068,0.313014925945857,0.142530188369225
0.0275,0.314822130071059,0.144558829821061,0.681460290783822,-0.228037287384595,0.681460290803945,-0.22803728737715,0.314767255362567,0.144645867433086
0.028,0.316598201108806,0.146647030859373,0.679546598417195,-0.231662794360074,0.679546598437404,-0.23166279435312,0.316541419278084,0.146736245641566
0.0285,0.318395694021038,0.148709700212194,0.677608315747314,-0.235263791291655,0.677608315767569,-0.23526379128519,0.318336980699934,0.148801124824716
