"Freq [thz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.463800245292077,0,0.536189187536365,0,0.536189188991557,0,0.46380007488915,0
0.0005,0.466115752452166,0.000647214082521184,0.533785948243161,-0.0115022835757301,0.533785948091622,-0.0115022823651169,0.466114167207515,0.000730851294522559
0.001,0.467319142511007,-0.000803156113277217,0.532310293034172,-0.0208408139778127,0.532310293029658,-0.0208408134519934,0.467313874503942,-0.000635779608646468
0.0015,0.468101334471541,-0.00240587652119677,0.531152366341907,-0.0299754559624952,0.531152366620519,-0.0299754555876587,0.468088618387138,-0.00216047712261046
0.002,0.468556154281187,-0.00407598789593904,0.530169132587994,-0.0390782731536997,0.530169132956749,-0.0390782729855651,0.4685331292594,-0.00374767790668233
0.0025,0.468852892826747,-0.005716714847552,0.529177838112431,-0.0482144986042884,0.52917783845916,-0.0482144985978255,0.468818192510674,-0.00530295449826597
0.003,0.469076577852778,-0.00732316087651707,0.528098926296415,-0.0573751140080649,0.528098926572439,-0.0573751141017892,0.469028556097609,-0.00682249986340427
0.0035,0.469267669033489,-0.00890593696623867,0.526898223153712,-0.0665442814756198,0.526898223347238,-0.0665442816165654,0.469204279203763,-0.00831734074756173
0.004,0.469446167634023,-0.0104757361598928,0.525560355635644,-0.0757094569282471,0.525560355754268,-0.0757094570778987,0.469365090140082,-0.00979832492295599
0.0045,0.469622364206617,-0.0120409907137507,0.524078047906047,-0.0848616409343387,0.524078047965941,-0.0848616410683075,0.469521131088584,-0.0112739251880217
0.005,0.469801623503006,-0.0136080673111991,0.522447667444676,-0.0939943249053667,0.522447667464094,-0.0939943250108952,0.469677709062874,-0.0127504809093892
0.0055,0.46998663290309,-0.0151817963443816,0.520667282029183,-0.10310257341802,0.520667282024824,-0.103102573490933,0.469837514358152,-0.0142327426477186
0.006,0.470178529442837,-0.0167659140732436,0.518735783495779,-0.112182395679729,0.518735783481034,-0.112182395721568,0.470001725614074,-0.0157243219363992
0.0065,0.470377501803149,-0.018363374947483,0.516652486914523,-0.121230345567281,0.516652486898915,-0.121230345582933,0.470170597072275,-0.0172280102294772
0.007,0.470583131412053,-0.0199765617749522,0.514416947933318,-0.130243276218288,0.514416947922635,-0.130243276214183,0.470343790715192,-0.0187459960005935
0.0075,0.470794596388487,-0.0216074253748086,0.512028881188122,-0.139218193553295,0.512028881184898,-0.139218193536135,0.47052057553165,-0.0202800114060474
0.008,0.471010799572056,-0.0232575775827837,0.50948812505432,-0.148152171326397,0.509488125058458,-0.148152171302324,0.470699953826649,-0.0218314319401675
0.0085,0.471230452574135,-0.0249283538489444,0.506794626981408,-0.157042303624869,0.506794626990818,-0.15704230359896,0.470880745417548,-0.0234013450338792
0.009,0.47145213331278,-0.0266208561001376,0.503948437431084,-0.165885679691232,0.50394843744226,-0.16588567966724,0.471061646342452,-0.0249905981644637
0.0095,0.471674326989326,-0.0283359828001114,0.500949707034642,-0.174679371742034,0.500949707043163,-0.174679371722292,0.471241271440431,-0.0265998334339462
0.01,0.471895456392953,-0.030074450701535,0.497798684709901,-0.183420430134554,0.497798684710844,-0.18342043011998,0.471418186289889,-0.0282295131996233
