Header: 
Footer: 
Point prm/cv           freq     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.
   37  37/ 0  9.500000E+009  1.134480E-002 -5.239551E-003  9.833875E-001 -8.641542E-002  9.835242E-001 -8.625580E-002  1.180018E-002 -5.611968E-003
   38  38/ 0  9.750000E+009  1.143908E-002 -5.722881E-003  9.829737E-001 -8.846626E-002  9.831023E-001 -8.831468E-002  1.170713E-002 -5.989746E-003
   39  39/ 0  1.000000E+010  1.147083E-002 -5.934140E-003  9.827023E-001 -9.060326E-002  9.828507E-001 -9.040323E-002  1.203545E-002 -6.100491E-003
   40  40/ 0  1.025000E+010  1.161616E-002 -6.516225E-003  9.822957E-001 -9.270943E-002  9.824158E-001 -9.250827E-002  1.193107E-002 -6.886594E-003
   41  41/ 0  1.050000E+010  1.147541E-002 -6.628080E-003  9.818945E-001 -9.479942E-002  9.821075E-001 -9.461735E-002  1.202109E-002 -6.722524E-003
   42  42/ 0  1.075000E+010  1.168387E-002 -7.046894E-003  9.815190E-001 -9.681124E-002  9.816997E-001 -9.664671E-002  1.217801E-002 -7.411455E-003
   43  43/ 0  1.100000E+010  1.164055E-002 -7.125410E-003  9.811789E-001 -9.887430E-002  9.813173E-001 -9.871721E-002  1.212086E-002 -7.447100E-003
   44  44/ 0  1.125000E+010  1.172314E-002 -7.469464E-003  9.808856E-001 -1.010392E-001  9.809858E-001 -1.007882E-001  1.220915E-002 -7.965009E-003
   45  45/ 0  1.150000E+010  1.183284E-002 -7.444949E-003  9.804427E-001 -1.029966E-001  9.806588E-001 -1.027664E-001  1.236439E-002 -7.843279E-003
   46  46/ 0  1.175000E+010  1.197098E-002 -7.903643E-003  9.801456E-001 -1.051268E-001  9.803153E-001 -1.049379E-001  1.261256E-002 -8.546214E-003
   47  47/ 0  1.200000E+010  1.200475E-002 -8.021796E-003  9.797958E-001 -1.071329E-001  9.799059E-001 -1.069552E-001  1.257640E-002 -8.548142E-003
   48  48/ 0  1.225000E+010  1.184683E-002 -8.389462E-003  9.793566E-001 -1.092441E-001  9.795439E-001 -1.090858E-001  1.278615E-002 -9.010697E-003
