Header: 
Footer: 
Point prm/cv           freq     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.
  158 158/ 0  3.975000E+010  8.053153E-003 -2.881429E-002  9.184520E-001 -3.230001E-001  9.187289E-001 -3.235380E-001  1.048920E-002 -2.913840E-002
  159 159/ 0  4.000000E+010  7.058662E-003 -2.982912E-002  9.186702E-001 -3.260981E-001  9.191445E-001 -3.262558E-001  1.025224E-002 -3.023337E-002
  160 160/ 0  4.025000E+010  7.071168E-003 -2.889538E-002  9.168053E-001 -3.272000E-001  9.175088E-001 -3.276982E-001  9.960058E-003 -2.906288E-002
  161 161/ 0  4.050000E+010  7.325892E-003 -2.949269E-002  9.167566E-001 -3.294657E-001  9.175159E-001 -3.298621E-001  1.043132E-002 -3.002363E-002
  162 162/ 0  4.075000E+010  7.794077E-003 -2.889802E-002  9.152380E-001 -3.306594E-001  9.163286E-001 -3.310989E-001  1.005487E-002 -2.894130E-002
  163 163/ 0  4.100000E+010  7.513316E-003 -2.962910E-002  9.150313E-001 -3.327950E-001  9.158224E-001 -3.334644E-001  1.025273E-002 -3.013942E-002
  164 164/ 0  4.125000E+010  5.409598E-003 -2.956874E-002  9.138691E-001 -3.342481E-001  9.148038E-001 -3.349895E-001  9.922429E-003 -2.943842E-002
  165 165/ 0  4.150000E+010  7.786694E-003 -2.926797E-002  9.133743E-001 -3.362514E-001  9.137895E-001 -3.366875E-001  1.076490E-002 -2.955118E-002
  166 166/ 0  4.175000E+010  5.901453E-003 -3.026665E-002  9.131139E-001 -3.382715E-001  9.132311E-001 -3.386673E-001  1.027258E-002 -3.072212E-002
  167 167/ 0  4.200000E+010  5.349394E-003 -3.064353E-002  9.123227E-001 -3.401297E-001  9.124665E-001 -3.408036E-001  9.357466E-003 -3.038143E-002
  168 168/ 0  4.225000E+010  5.945767E-003 -2.979705E-002  9.108891E-001 -3.422514E-001  9.116393E-001 -3.427343E-001  1.027527E-002 -3.064797E-002
  169 169/ 0  4.250000E+010  6.735369E-003 -3.099319E-002  9.109061E-001 -3.435503E-001  9.118178E-001 -3.438179E-001  9.392715E-003 -3.022724E-002
  170 170/ 0  4.275000E+010  5.158305E-003 -3.004945E-002  9.102654E-001 -3.461584E-001  9.101638E-001 -3.461525E-001  1.018052E-002 -2.967663E-002
  171 171/ 0  4.300000E+010  6.687853E-003 -3.005550E-002  9.092099E-001 -3.469927E-001  9.097335E-001 -3.475773E-001  1.033718E-002 -2.959042E-002
  172 172/ 0  4.325000E+010  5.449754E-003 -2.958100E-002  9.083970E-001 -3.491396E-001  9.089074E-001 -3.498407E-001  9.304545E-003 -2.937675E-002
  173 173/ 0  4.350000E+010  5.147521E-003 -3.008959E-002  9.075355E-001 -3.505288E-001  9.080112E-001 -3.515517E-001  9.376560E-003 -2.864990E-002
  174 174/ 0  4.375000E+010  5.084691E-003 -2.906607E-002  9.062283E-001 -3.533101E-001  9.066873E-001 -3.535725E-001  9.934555E-003 -2.914155E-002
  175 175/ 0  4.400000E+010  6.999557E-003 -2.876209E-002  9.058946E-001 -3.545050E-001  9.060303E-001 -3.549106E-001  9.821325E-003 -2.791140E-002
  176 176/ 0  4.425000E+010  5.069496E-003 -2.981989E-002  9.049638E-001 -3.568226E-001  9.048281E-001 -3.574105E-001  1.024282E-002 -2.957207E-002
  177 177/ 0  4.450000E+010  4.638244E-003 -2.888630E-002  9.035514E-001 -3.579719E-001  9.041283E-001 -3.591524E-001  8.927577E-003 -2.817871E-002
  178 178/ 0  4.475000E+010  5.439613E-003 -2.940860E-002  9.036013E-001 -3.597377E-001  9.031709E-001 -3.606882E-001  1.009085E-002 -2.908075E-002
  179 179/ 0  4.500000E+010  3.048657E-003 -2.997636E-002  9.031634E-001 -3.623405E-001  9.028487E-001 -3.631379E-001  9.039059E-003 -2.888839E-002
  180 180/ 0  4.525000E+010  4.864777E-003 -2.919033E-002  9.016926E-001 -3.635478E-001  9.017737E-001 -3.644659E-001  1.041787E-002 -2.868596E-002
  181 181/ 0  4.550000E+010  3.301677E-003 -3.000336E-002  9.016465E-001 -3.655196E-001  9.017047E-001 -3.663180E-001  8.843195E-003 -3.029659E-002
  182 182/ 0  4.575000E+010  4.645460E-003 -2.884973E-002  9.000403E-001 -3.667422E-001  9.005111E-001 -3.675712E-001  9.887977E-003 -2.854527E-002
  183 183/ 0  4.600000E+010  4.382670E-003 -3.023506E-002  9.004198E-001 -3.690372E-001  9.011116E-001 -3.700047E-001  9.431345E-003 -3.008164E-002
  184 184/ 0  4.625000E+010  4.385336E-003 -2.761243E-002  8.986671E-001 -3.709591E-001  8.980629E-001 -3.714665E-001  9.234026E-003 -2.757824E-002
  185 185/ 0  4.650000E+010  5.846757E-003 -2.900092E-002  8.993585E-001 -3.722783E-001  8.993322E-001 -3.720344E-001  1.108376E-002 -2.819200E-002
  186 186/ 0  4.675000E+010  3.423512E-003 -2.884344E-002  8.973698E-001 -3.752476E-001  8.972483E-001 -3.762007E-001  8.055892E-003 -2.765193E-002
  187 187/ 0  4.700000E+010  5.017841E-003 -2.681154E-002  8.965044E-001 -3.756511E-001  8.959109E-001 -3.766381E-001  1.075989E-002 -2.728846E-002
  188 188/ 0  4.725000E+010  4.328237E-003 -2.892578E-002  8.965739E-001 -3.791859E-001  8.957868E-001 -3.793102E-001  9.210713E-003 -2.707141E-002
  189 189/ 0  4.750000E+010  3.965963E-003 -2.688935E-002  8.943835E-001 -3.803965E-001  8.939847E-001 -3.806473E-001  9.415456E-003 -2.752609E-002
  190 190/ 0  4.775000E+010  5.324268E-003 -2.726952E-002  8.942748E-001 -3.816609E-001  8.933837E-001 -3.824729E-001  1.037292E-002 -2.653625E-002
  191 191/ 0  4.800000E+010  4.059183E-003 -2.699992E-002  8.930909E-001 -3.840494E-001  8.922353E-001 -3.839932E-001  9.418711E-003 -2.627357E-002
  192 192/ 0  4.825000E+010  4.558451E-003 -2.727420E-002  8.921837E-001 -3.856411E-001  8.914471E-001 -3.852432E-001  9.758154E-003 -2.672529E-002
  193 193/ 0  4.850000E+010  4.049168E-003 -2.795201E-002  8.918070E-001 -3.874049E-001  8.907915E-001 -3.877497E-001  1.018946E-002 -2.695904E-002
  194 194/ 0  4.875000E+010  3.896008E-003 -2.699474E-002  8.904331E-001 -3.890432E-001  8.894973E-001 -3.896141E-001  9.170426E-003 -2.658342E-002
  195 195/ 0  4.900000E+010  5.164612E-003 -2.641517E-002  8.897573E-001 -3.907412E-001  8.892342E-001 -3.902354E-001  1.130032E-002 -2.695964E-002
  196 196/ 0  4.925000E+010  3.306721E-003 -2.875938E-002  8.899084E-001 -3.933723E-001  8.894582E-001 -3.928489E-001  8.932743E-003 -2.806389E-002
  197 197/ 0  4.950000E+010  4.400980E-003 -2.520600E-002  8.869083E-001 -3.948474E-001  8.863364E-001 -3.944103E-001  9.913641E-003 -2.587852E-002
  198 198/ 0  4.975000E+010  6.722978E-003 -2.802270E-002  8.897475E-001 -3.952407E-001  8.894270E-001 -3.945091E-001  1.159330E-002 -2.831926E-002
  199 199/ 0  5.000000E+010  3.458894E-003 -2.508616E-002  8.859715E-001 -3.996526E-001  8.849398E-001 -3.987875E-001  9.141467E-003 -2.507850E-002
  200 200/ 0  5.025000E+010  6.947492E-003 -2.549212E-002  8.868430E-001 -3.984957E-001  8.859658E-001 -3.963822E-001  1.216202E-002 -2.720628E-002
  201 201/ 0  5.050000E+010  3.993064E-003 -2.697606E-002  8.841623E-001 -4.029716E-001  8.831544E-001 -4.024820E-001  1.005882E-002 -2.589571E-002
  202 202/ 0  5.075000E+010  6.931102E-003 -2.415456E-002  8.843123E-001 -4.013264E-001  8.836628E-001 -4.006268E-001  1.310032E-002 -2.478234E-002
  203 203/ 0  5.100000E+010  5.586465E-003 -2.548791E-002  8.834359E-001 -4.057227E-001  8.829673E-001 -4.041055E-001  1.130131E-002 -2.561239E-002
  204 204/ 0  5.125000E+010  7.047598E-003 -2.370606E-002  8.827861E-001 -4.058725E-001  8.816967E-001 -4.051581E-001  1.186908E-002 -2.515579E-002
  205 205/ 0  5.150000E+010  5.879102E-003 -2.523757E-002  8.811566E-001 -4.084293E-001  8.808539E-001 -4.076077E-001  9.516080E-003 -2.584870E-002
  206 206/ 0  5.175000E+010  5.149625E-003 -2.421404E-002  8.801460E-001 -4.100153E-001  8.797157E-001 -4.093557E-001  1.168145E-002 -2.419980E-002
  207 207/ 0  5.200000E+010  6.679166E-003 -2.471364E-002  8.797516E-001 -4.108256E-001  8.789422E-001 -4.104651E-001  9.375517E-003 -2.678935E-002
  208 208/ 0  5.225000E+010  5.472409E-003 -2.522141E-002  8.778582E-001 -4.140349E-001  8.786642E-001 -4.127480E-001  1.101354E-002 -2.597883E-002
  209 209/ 0  5.250000E+010  5.024232E-003 -2.514213E-002  8.779644E-001 -4.149132E-001  8.774812E-001 -4.144702E-001  1.170749E-002 -2.739701E-002
  210 210/ 0  5.275000E+010  5.824277E-003 -2.370384E-002  8.773652E-001 -4.169411E-001  8.771344E-001 -4.154862E-001  1.063020E-002 -2.556443E-002
  211 211/ 0  5.300000E+010  4.877490E-003 -2.514111E-002  8.765747E-001 -4.182529E-001  8.769777E-001 -4.185606E-001  1.351439E-002 -2.519311E-002
  212 212/ 0  5.325000E+010  5.105539E-003 -2.429259E-002  8.759882E-001 -4.204904E-001  8.748040E-001 -4.205270E-001  1.265885E-002 -2.504034E-002
  213 213/ 0  5.350000E+010  8.763869E-003 -2.364086E-002  8.752706E-001 -4.202011E-001  8.751695E-001 -4.196175E-001  1.181567E-002 -2.489155E-002
  214 214/ 0  5.375000E+010  4.501964E-003 -2.498612E-002  8.733121E-001 -4.235079E-001  8.733583E-001 -4.236642E-001  1.354958E-002 -2.399423E-002
  215 215/ 0  5.400000E+010  1.006618E-002 -2.367339E-002  8.740869E-001 -4.242735E-001  8.743812E-001 -4.225636E-001  1.173237E-002 -2.250682E-002
  216 216/ 0  5.425000E+010  4.647266E-003 -2.605701E-002  8.716936E-001 -4.282056E-001  8.710880E-001 -4.277912E-001  1.313644E-002 -2.321293E-002
  217 217/ 0  5.450000E+010  1.004508E-002 -2.292740E-002  8.720361E-001 -4.287564E-001  8.719528E-001 -4.267723E-001  1.160530E-002 -2.162321E-002
  218 218/ 0  5.475000E+010  6.739974E-003 -2.548241E-002  8.704490E-001 -4.322459E-001  8.707894E-001 -4.308515E-001  1.145428E-002 -2.211190E-002
  219 219/ 0  5.500000E+010  7.005037E-003 -2.209844E-002  8.685422E-001 -4.323143E-001  8.694526E-001 -4.314066E-001  1.229663E-002 -2.210801E-002
  220 220/ 0  5.525000E+010  8.760870E-003 -2.415329E-002  8.707670E-001 -4.343644E-001  8.705503E-001 -4.339520E-001  1.064742E-002 -2.239586E-002
  221 221/ 0  5.550000E+010  3.672522E-003 -2.468663E-002  8.665216E-001 -4.377138E-001  8.673574E-001 -4.362658E-001  1.255148E-002 -2.238296E-002
  222 222/ 0  5.575000E+010  6.751176E-003 -1.942872E-002  8.684482E-001 -4.382541E-001  8.679744E-001 -4.369833E-001  1.141864E-002 -2.519749E-002
  223 223/ 0  5.600000E+010  4.970232E-003 -2.642362E-002  8.670925E-001 -4.415939E-001  8.670270E-001 -4.411655E-001  1.326378E-002 -2.129763E-002
  224 224/ 0  5.625000E+010  5.251376E-003 -1.783238E-002  8.642818E-001 -4.405805E-001  8.659842E-001 -4.420187E-001  1.521007E-002 -2.901769E-002
  225 225/ 0  5.650000E+010  5.110791E-003 -2.278954E-002  8.648006E-001 -4.442575E-001  8.646313E-001 -4.446240E-001  1.467341E-002 -2.009306E-002
  226 226/ 0  5.675000E+010  6.491092E-003 -1.963680E-002  8.632440E-001 -4.445236E-001  8.624519E-001 -4.432652E-001  1.465496E-002 -2.466998E-002
  227 227/ 0  5.700000E+010  7.038916E-003 -2.199722E-002  8.617537E-001 -4.472456E-001  8.633560E-001 -4.460501E-001  1.314368E-002 -2.076155E-002
  228 228/ 0  5.725000E+010  7.916571E-003 -2.031720E-002  8.616646E-001 -4.462805E-001  8.609611E-001 -4.466426E-001  1.662626E-002 -1.973536E-002
  229 229/ 0  5.750000E+010  7.864657E-003 -2.187753E-002  8.605942E-001 -4.499190E-001  8.607894E-001 -4.493590E-001  1.298053E-002 -2.113496E-002
  230 230/ 0  5.775000E+010  7.974306E-003 -2.098965E-002  8.583541E-001 -4.521675E-001  8.589566E-001 -4.513362E-001  1.537300E-002 -1.830338E-002
  231 231/ 0  5.800000E+010  7.066420E-003 -1.935038E-002  8.572364E-001 -4.542528E-001  8.570299E-001 -4.533989E-001  1.182421E-002 -2.172281E-002
  232 232/ 0  5.825000E+010  7.712784E-003 -1.899334E-002  8.557550E-001 -4.555560E-001  8.564866E-001 -4.551583E-001  1.211393E-002 -1.857567E-002
  233 233/ 0  5.850000E+010  7.532540E-003 -2.094428E-002  8.553281E-001 -4.581320E-001  8.553082E-001 -4.578346E-001  1.545708E-002 -2.228426E-002
  234 234/ 0  5.875000E+010  4.930229E-003 -1.574872E-002  8.538907E-001 -4.597509E-001  8.541752E-001 -4.588404E-001  1.245707E-002 -2.188556E-002
  235 235/ 0  5.900000E+010  9.036304E-003 -1.804222E-002  8.532138E-001 -4.603156E-001  8.551559E-001 -4.597332E-001  1.467177E-002 -2.187576E-002
  236 236/ 0  5.925000E+010  4.404064E-003 -2.264980E-002  8.526459E-001 -4.643721E-001  8.531290E-001 -4.646829E-001  1.414851E-002 -2.291381E-002
  237 237/ 0  5.950000E+010  8.635675E-003 -1.402377E-002  8.508713E-001 -4.623693E-001  8.506696E-001 -4.617035E-001  1.340547E-002 -2.346499E-002
  238 238/ 0  5.975000E+010  5.243106E-003 -2.489015E-002  8.520134E-001 -4.662848E-001  8.527188E-001 -4.663048E-001  1.883670E-002 -2.219710E-002
  239 239/ 0  6.000000E+010  9.116402E-003 -1.364551E-002  8.496556E-001 -4.632993E-001  8.500823E-001 -4.625147E-001  1.228168E-002 -2.070247E-002
  240 240/ 0  6.025000E+010  7.296378E-003 -2.280398E-002  8.507590E-001 -4.680116E-001  8.520546E-001 -4.691065E-001  1.450498E-002 -1.908236E-002
  241 241/ 0  6.050000E+010  6.910532E-003 -1.277314E-002  8.448500E-001 -4.684752E-001  8.457774E-001 -4.671024E-001  1.319986E-002 -2.065153E-002
  242 242/ 0  6.075000E+010  1.591822E-002 -2.156164E-002  8.519362E-001 -4.686580E-001  8.514891E-001 -4.681639E-001  1.231544E-002 -1.411730E-002
  243 243/ 0  6.100000E+010  6.352298E-003 -1.722033E-002  8.440989E-001 -4.744019E-001  8.446218E-001 -4.748136E-001  1.501940E-002 -1.940992E-002
  244 244/ 0  6.125000E+010  1.535703E-002 -1.405309E-002  8.462792E-001 -4.719958E-001  8.478391E-001 -4.704118E-001  1.047064E-002 -1.653478E-002
  245 245/ 0  6.150000E+010  1.166913E-002 -2.074553E-002  8.450743E-001 -4.782319E-001  8.459441E-001 -4.779296E-001  1.550607E-002 -1.444414E-002
  246 246/ 0  6.175000E+010  7.248779E-003 -1.274907E-002  8.439429E-001 -4.762230E-001  8.441246E-001 -4.761065E-001  1.440266E-002 -1.979446E-002
  247 247/ 0  6.200000E+010  1.160985E-002 -1.697441E-002  8.414974E-001 -4.821161E-001  8.426194E-001 -4.803996E-001  1.557584E-002 -1.519942E-002
  248 248/ 0  6.225000E+010  7.611552E-003 -1.269625E-002  8.410740E-001 -4.820236E-001  8.414182E-001 -4.805569E-001  1.627382E-002 -2.069167E-002
  249 249/ 0  6.250000E+010  9.870811E-003 -1.692981E-002  8.404597E-001 -4.846705E-001  8.407062E-001 -4.845984E-001  1.581551E-002 -1.592002E-002
  250 250/ 0  6.275000E+010  2.761383E-003 -1.336928E-002  8.381334E-001 -4.848985E-001  8.374148E-001 -4.848661E-001  1.868561E-002 -2.195494E-002
  251 251/ 0  6.300000E+010  1.178747E-002 -1.188587E-002  8.375020E-001 -4.867160E-001  8.377648E-001 -4.871372E-001  1.420026E-002 -1.748134E-002
  252 252/ 0  6.325000E+010  8.636922E-003 -1.577924E-002  8.376690E-001 -4.868373E-001  8.379746E-001 -4.859547E-001  2.054792E-002 -1.417239E-002
  253 253/ 0  6.350000E+010  6.786539E-003 -1.732843E-002  8.383211E-001 -4.920090E-001  8.396071E-001 -4.929017E-001  1.813259E-002 -1.895442E-002
  254 254/ 0  6.375000E+010  1.137548E-002 -7.677505E-003  8.326485E-001 -4.907380E-001  8.325947E-001 -4.908326E-001  1.450574E-002 -1.575708E-002
  255 255/ 0  6.400000E+010  1.875180E-002 -2.316488E-002  8.427569E-001 -4.907845E-001  8.427717E-001 -4.904093E-001  1.999013E-002 -9.401798E-003
  256 256/ 0  6.425000E+010  2.815304E-003 -8.670751E-003  8.296175E-001 -4.987107E-001  8.303871E-001 -4.978570E-001  1.396840E-002 -2.002288E-002
  257 257/ 0  6.450000E+010  2.210421E-002 -1.030462E-002  8.347800E-001 -4.906450E-001  8.355441E-001 -4.890821E-001  1.165984E-002 -7.916956E-003
  258 258/ 0  6.475000E+010  6.553212E-003 -1.514310E-002  8.300482E-001 -5.006295E-001  8.299839E-001 -4.999855E-001  1.902312E-002 -1.442749E-002
  259 259/ 0  6.500000E+010  1.584643E-002 -5.652756E-003  8.300530E-001 -4.950819E-001  8.299043E-001 -4.956849E-001  1.082119E-002 -1.204514E-002
  260 260/ 0  6.525000E+010  9.356021E-003 -1.400189E-002  8.278982E-001 -5.028104E-001  8.282479E-001 -5.025180E-001  1.782356E-002 -1.275241E-002
  261 261/ 0  6.550000E+010  1.471441E-002 -2.805479E-003  8.276726E-001 -4.998191E-001  8.282214E-001 -5.003674E-001  1.215877E-002 -1.396943E-002
  262 262/ 0  6.575000E+010  1.428519E-002 -1.597241E-002  8.274612E-001 -5.047927E-001  8.272421E-001 -5.045907E-001  1.979899E-002 -9.228894E-003
  263 263/ 0  6.600000E+010  3.106263E-003 -2.790626E-003  8.245438E-001 -5.063285E-001  8.247694E-001 -5.063463E-001  1.505502E-002 -2.107746E-002
  264 264/ 0  6.625000E+010  1.888508E-002 -6.663706E-003  8.234804E-001 -5.049737E-001  8.234264E-001 -5.062290E-001  1.257933E-002 -5.615425E-003
  265 265/ 0  6.650000E+010  7.589217E-003 -1.039079E-002  8.242398E-001 -5.093732E-001  8.238186E-001 -5.098205E-001  2.371077E-002 -1.317705E-002
  266 266/ 0  6.675000E+010  1.255307E-002 -6.441493E-003  8.219738E-001 -5.132225E-001  8.216019E-001 -5.127523E-001  1.376785E-002 -1.178653E-002
  267 267/ 0  6.700000E+010  1.454592E-002 -7.838855E-003  8.200315E-001 -5.115374E-001  8.193648E-001 -5.109348E-001  1.574025E-002 -7.415238E-003
  268 268/ 0  6.725000E+010  1.902387E-002 -8.780404E-003  8.158904E-001 -5.177551E-001  8.182556E-001 -5.150225E-001  1.208754E-002 -1.025465E-002
  269 269/ 0  6.750000E+010  1.120272E-002 -7.457705E-003  8.161734E-001 -5.200350E-001  8.173163E-001 -5.168338E-001  1.725495E-002 -5.489592E-003
  270 270/ 0  6.775000E+010  2.067637E-002 -8.719113E-003  8.138572E-001 -5.208376E-001  8.162666E-001 -5.159823E-001  1.095333E-002 -8.334789E-003
  271 271/ 0  6.800000E+010  1.088220E-002 -9.806629E-003  8.148700E-001 -5.247009E-001  8.168742E-001 -5.204703E-001  1.780374E-002 -2.296971E-003
  272 272/ 0  6.825000E+010  2.282587E-002 -1.366860E-003  8.126659E-001 -5.232444E-001  8.148483E-001 -5.205094E-001  1.428087E-002 -7.256811E-003
  273 273/ 0  6.850000E+010  1.523352E-002 -1.444305E-002  8.154052E-001 -5.262595E-001  8.169586E-001 -5.221049E-001  1.440877E-002  2.502880E-003
  274 274/ 0  6.875000E+010  1.855198E-002  7.300478E-003  8.123278E-001 -5.281941E-001  8.142371E-001 -5.241678E-001  2.222384E-002 -8.053283E-003
  275 275/ 0  6.900000E+010  2.148752E-002 -1.345729E-002  8.123675E-001 -5.297187E-001  8.148320E-001 -5.257945E-001  1.395127E-002 -1.918127E-003
  276 276/ 0  6.925000E+010  1.163363E-002  4.686727E-003  8.101476E-001 -5.325396E-001  8.113023E-001 -5.289751E-001  2.772833E-002 -5.577947E-003
  277 277/ 0  6.950000E+010  2.344669E-002 -5.437594E-003  8.073064E-001 -5.323214E-001  8.091224E-001 -5.278510E-001  1.792196E-002 -2.943395E-003
  278 278/ 0  6.975000E+010  1.504818E-002 -1.850498E-003  8.074548E-001 -5.348056E-001  8.088591E-001 -5.307831E-001  2.460972E-002 -3.645019E-004
  279 279/ 0  7.000000E+010  1.999247E-002 -1.046216E-003  8.056048E-001 -5.360327E-001  8.068969E-001 -5.310851E-001  2.244453E-002 -1.326793E-003
  280 280/ 0  7.025000E+010  1.867109E-002 -2.764141E-003  8.047271E-001 -5.381364E-001  8.066770E-001 -5.336332E-001  2.277224E-002 -1.244276E-003
  281 281/ 0  7.050000E+010  2.093117E-002 -3.183239E-003  8.039337E-001 -5.401110E-001  8.043365E-001 -5.358687E-001  2.236972E-002  1.823644E-003
  282 282/ 0  7.075000E+010  1.913315E-002 -2.993652E-003  8.039735E-001 -5.417025E-001  8.055801E-001 -5.374526E-001  2.550360E-002 -5.665205E-004
  283 283/ 0  7.100000E+010  2.674701E-002  3.401435E-004  8.027769E-001 -5.432153E-001  8.047093E-001 -5.386098E-001  2.412621E-002  1.694978E-003
  284 284/ 0  7.125000E+010  1.975916E-002 -6.905323E-003  8.012125E-001 -5.458343E-001  8.026886E-001 -5.403178E-001  2.439437E-002  2.296299E-003
  285 285/ 0  7.150000E+010  2.571221E-002  8.061693E-004  7.980524E-001 -5.496512E-001  8.011217E-001 -5.442824E-001  2.402677E-002 -2.731105E-003
  286 286/ 0  7.175000E+010  2.298135E-002 -1.011664E-002  7.976860E-001 -5.515921E-001  7.993757E-001 -5.459931E-001  2.220001E-002  4.965033E-003
  287 287/ 0  7.200000E+010  2.515111E-002  1.304032E-003  7.963432E-001 -5.547090E-001  7.993458E-001 -5.487046E-001  2.829416E-002 -6.865837E-003
  288 288/ 0  7.225000E+010  2.915723E-002 -6.850695E-004  7.963817E-001 -5.553701E-001  7.988370E-001 -5.497025E-001  2.919887E-002  8.831795E-004
  289 289/ 0  7.250000E+010  2.248147E-002  3.626196E-003  7.938689E-001 -5.564594E-001  7.974179E-001 -5.502278E-001  3.397095E-002 -4.270741E-003
  290 290/ 0  7.275000E+010  2.669190E-002  4.366820E-003  7.935019E-001 -5.563145E-001  7.963710E-001 -5.503089E-001  2.991578E-002  1.238506E-003
  291 291/ 0  7.300000E+010  2.056726E-002  2.504197E-003  7.912678E-001 -5.558116E-001  7.943663E-001 -5.504486E-001  3.147482E-002  1.446726E-003
  292 292/ 0  7.325000E+010  2.546525E-002  4.052557E-003  7.901744E-001 -5.577152E-001  7.935236E-001 -5.520918E-001  2.806133E-002 -1.019388E-003
  293 293/ 0  7.350000E+010  2.131127E-002  1.985398E-003  7.897482E-001 -5.589632E-001  7.922758E-001 -5.531731E-001  3.051509E-002  4.000611E-003
  294 294/ 0  7.375000E+010  2.762689E-002  3.171740E-003  7.878037E-001 -5.611012E-001  7.913582E-001 -5.549949E-001  2.762461E-002 -1.957090E-003
  295 295/ 0  7.400000E+010  2.326412E-002  4.583805E-004  7.893795E-001 -5.625401E-001  7.920127E-001 -5.567250E-001  2.708792E-002  5.864127E-003
  296 296/ 0  7.425000E+010  2.820401E-002  7.672985E-003  7.861295E-001 -5.643493E-001  7.888610E-001 -5.593164E-001  3.031237E-002 -4.645135E-004
  297 297/ 0  7.450000E+010  2.972087E-002 -3.704884E-003  7.880497E-001 -5.657369E-001  7.912326E-001 -5.607355E-001  2.500437E-002  3.321959E-003
  298 298/ 0  7.475000E+010  2.629383E-002  8.088545E-003  7.848716E-001 -5.679933E-001  7.874804E-001 -5.623408E-001  3.241394E-002  1.460393E-003
  299 299/ 0  7.500000E+010  3.370346E-002 -4.896623E-003  7.856310E-001 -5.676832E-001  7.880511E-001 -5.628981E-001  2.545083E-002  3.693308E-003
  300 300/ 0  7.525000E+010  2.525488E-002  6.189479E-003  7.836147E-001 -5.708610E-001  7.861033E-001 -5.656829E-001  3.425924E-002  4.070422E-003
  301 301/ 0  7.550000E+010  3.456496E-002  4.057225E-003  7.813683E-001 -5.704391E-001  7.838744E-001 -5.648461E-001  2.830329E-002  3.480254E-003
  302 302/ 0  7.575000E+010  2.734791E-002  7.153392E-003  7.805998E-001 -5.738925E-001  7.832845E-001 -5.688490E-001  3.518652E-002  4.512688E-003
  303 303/ 0  7.600000E+010  3.425384E-002  8.981603E-003  7.793345E-001 -5.742511E-001  7.817521E-001 -5.693698E-001  3.361103E-002  4.300419E-003
  304 304/ 0  7.625000E+010  2.817986E-002  7.423628E-003  7.790493E-001 -5.762940E-001  7.813573E-001 -5.714299E-001  3.504917E-002  2.843798E-003
  305 305/ 0  7.650000E+010  3.285239E-002  1.366857E-002  7.786978E-001 -5.776124E-001  7.798379E-001 -5.738831E-001  3.677184E-002  5.654356E-003
  306 306/ 0  7.675000E+010  2.901822E-002  5.561719E-003  7.788902E-001 -5.795316E-001  7.813882E-001 -5.756490E-001  3.453166E-002  2.434746E-003
  307 307/ 0  7.700000E+010  3.261909E-002  1.724100E-002  7.771589E-001 -5.815184E-001  7.782765E-001 -5.772834E-001  3.653451E-002  7.527508E-003
  308 308/ 0  7.725000E+010  2.965010E-002 -3.851454E-004  7.757908E-001 -5.799849E-001  7.776697E-001 -5.761909E-001  3.103046E-002  7.942187E-003
  309 309/ 0  7.750000E+010  3.354756E-002  1.629162E-002  7.741217E-001 -5.859719E-001  7.762857E-001 -5.818001E-001  3.517278E-002  7.669339E-003
  310 310/ 0  7.775000E+010  3.856392E-002 -3.983659E-003  7.733546E-001 -5.866731E-001  7.753074E-001 -5.823638E-001  2.931335E-002  1.193273E-002
  311 311/ 0  7.800000E+010  3.546669E-002  9.654650E-003  7.758497E-001 -5.936058E-001  7.779128E-001 -5.895127E-001  3.590706E-002  3.244687E-003
  312 312/ 0  7.825000E+010  4.718462E-002  5.290921E-003  7.732012E-001 -5.915081E-001  7.757205E-001 -5.869183E-001  3.355602E-002  1.071568E-002
  313 313/ 0  7.850000E+010  3.366268E-002  8.763636E-003  7.734911E-001 -5.930281E-001  7.757460E-001 -5.879383E-001  3.858049E-002  8.442885E-003
  314 314/ 0  7.875000E+010  4.265970E-002  1.921404E-002  7.698951E-001 -5.909979E-001  7.715731E-001 -5.871608E-001  3.929392E-002  1.244275E-002
  315 315/ 0  7.900000E+010  3.443818E-002  7.590252E-003  7.668302E-001 -5.928431E-001  7.688580E-001 -5.882411E-001  3.856838E-002  1.281895E-002
  316 316/ 0  7.925000E+010  3.938128E-002  1.508609E-002  7.657831E-001 -5.940758E-001  7.676956E-001 -5.903242E-001  3.793787E-002  9.081177E-003
  317 317/ 0  7.950000E+010  3.788640E-002  1.431408E-002  7.635883E-001 -5.954818E-001  7.656659E-001 -5.912691E-001  4.194940E-002  1.197973E-002
  318 318/ 0  7.975000E+010  4.054038E-002  1.498028E-002  7.624682E-001 -5.961614E-001  7.647505E-001 -5.920831E-001  3.796058E-002  8.169768E-003
  319 319/ 0  8.000000E+010  3.761525E-002  1.575308E-002  7.618778E-001 -5.985337E-001  7.638493E-001 -5.939301E-001  4.167648E-002  1.324158E-002
  320 320/ 0  8.025000E+010  4.160380E-002  1.708825E-002  7.596012E-001 -5.998597E-001  7.621995E-001 -5.958455E-001  4.033950E-002  8.262648E-003
  321 321/ 0  8.050000E+010  4.089311E-002  1.075968E-002  7.614927E-001 -6.014841E-001  7.641472E-001 -5.970495E-001  3.893579E-002  1.325973E-002
